"","area_id","cluster","f_beer","f_dairy","f_eggs","f_fats_oils","f_fish","f_fruit_veg","f_grains","f_meat_red","f_poultry","f_readymade","f_sauces","f_soft_drinks","f_spirits","f_sweets","f_tea_coffee","f_water","f_wine","representativeness_norm","transaction_days","num_transactions","man_day","population","male","female","age_0_17","age_18_64","age_65.","avg_age","area_sq_km","people_per_sq_km"
"21","E05000227","1",0.0147672349842853,0.0988370531240249,0.0126171883878887,0.0345608883690848,0.0233281605478331,0.265142795742474,0.149130166155932,0.0668425827008553,0.0229861781242832,0.0620238333853367,0.0176436067884028,0.0271695220304871,0.00370188224646291,0.146850972118617,0.00599244125857797,0.0334512535567205,0.0149542404787341,0.431862941496643,364,1408422,93829,14006,7099,6907,3169,9036,1801,37.8572040541832,3.78,3705.29100529101
"22","E05000230","1",0.018126323285199,0.106126453745152,0.0128013828755004,0.0301226595348559,0.0207708552465285,0.265899127277274,0.148122056157574,0.0580329357022686,0.0241225888690481,0.0648201147504002,0.0162841200340283,0.0292001989514281,0.00327454481707069,0.145873796303091,0.00729760361374069,0.0318713664864689,0.0172538723503719,0.465784821883522,364,2679187,242425,21554,11084,10470,5393,14863,1298,31.7887631073379,2.54,8485.82677165354
"23","E05000253","1",0.0124948066852872,0.107619878157638,0.0124228201447135,0.0272931826689318,0.0235354852509862,0.285257979193833,0.143543218662202,0.0546213302289995,0.022531787199559,0.0587739252409492,0.0147058218600499,0.0281487941226075,0.00303371849560471,0.154639429702058,0.00661247794126721,0.0309706665130954,0.0137946779322175,0.378443703652498,364,682870,69933,9566,4599,4967,2044,6701,821,34.4601714401181,3.43,2788.92128279883
"24","E05000254","1",0.0178898792591188,0.112588659207282,0.012612680953284,0.0311549402617106,0.0282647449269865,0.285694418104811,0.131163790378659,0.0532827612364878,0.0215184272077881,0.0556040204816992,0.0151716290536696,0.0280624565396043,0.00385612238447437,0.147956255136229,0.00557557367722359,0.0299007522599406,0.0197028889310323,0.273442315066907,364,548350,53542,10868,5329,5539,1773,7898,1197,36.3249907989603,0.67,16220.8955223881
"25","E05000265","1",0.0116962804434525,0.108070080317068,0.0131434004264995,0.0322996034738516,0.0257045164271028,0.302212298992552,0.140013631182954,0.0533248440718673,0.0215683878739746,0.0504573319154867,0.0155107207153889,0.0254028740031959,0.00231863749262599,0.145366829642668,0.00573693344202643,0.0331787575004916,0.0139948720787936,0.431018671706828,364,1448639,126341,13311,6284,7027,3402,8630,1279,34.1274134173969,0.9,14790
"26","E05000267","1",0.0138712413359339,0.109796986080316,0.0124989676181521,0.0323238756567537,0.0249701403404001,0.296170498656315,0.140509551914512,0.0537275337827106,0.023609778720863,0.0497917765226838,0.0157255579626818,0.0238631093435322,0.00255871870294721,0.143848910122425,0.00564871698760506,0.0287804234989168,0.0223042127532512,0.434368798212578,364,1825988,143566,14737,7412,7325,3098,10208,1431,35.5146230561241,1.39,10602.1582733813
"27","E05000273","1",0.0167219593254727,0.110796367278201,0.0125064580020972,0.0326083502702652,0.0249846714392136,0.279909523243512,0.140420208515501,0.0550698405711992,0.021632983061499,0.0575577160032528,0.0169031952840991,0.0266040264981094,0.00239725745274037,0.145699588453151,0.00498869628972333,0.0289036048302914,0.0222955534816722,0.40900881510952,364,1213083,113765,13062,6523,6539,2616,9260,1186,35.7847955912724,1.06,12322.641509434
"28","E05000279","1",0.0126761220860641,0.102993491949271,0.0146455362734209,0.0348831166772213,0.0310693584342629,0.306027235342353,0.138263269104242,0.0549005031870864,0.0217648452521352,0.0504076669752317,0.0175062953434276,0.0257010313001216,0.00298847152848913,0.132984781078827,0.00610641706661218,0.0296380981236838,0.01744376027755,0.503870134381002,364,1583409,147599,11954,6020,5934,2028,8906,1020,36.4319892909361,1.09,10966.9724770642
"29","E05000284","1",0.015315883926232,0.116881254933498,0.0126874317138003,0.0330888350930505,0.0192429068868744,0.262579904123292,0.147887103445662,0.054203793210848,0.0226392956077657,0.0532084420282093,0.0140370883670802,0.0312513904429807,0.00374904625911101,0.158539338618802,0.0051596764119897,0.0304702704751484,0.0190583384556566,0.308655024963487,364,880061,90339,15766,8022,7744,3247,11109,1410,34.6448687040885,1.5,10510.6666666667
"30","E05000329","1",0.0155239570790847,0.111231273994858,0.00990313055084853,0.0306876047653337,0.0203397341131791,0.281584479377127,0.136860027329736,0.0559345376988491,0.0227688647511472,0.0589772698550642,0.0197121504393892,0.0221493477055552,0.00264155184717719,0.159514883735688,0.0048034082041911,0.0225838700778107,0.0247839084749609,0.742083515256164,364,2526667,201990,12844,6236,6608,2652,7499,2693,42.2654936168483,4.05,3171.35802469136
"31","E05000336","1",0.0132289837192265,0.115144414525662,0.0107193562690945,0.0331580736149989,0.0203133373052459,0.286969205103427,0.135951837046554,0.0559662453998485,0.0236243739337504,0.0587802382186009,0.0189534934894288,0.0217575010530746,0.00252996778460843,0.155055479186845,0.00533286587546464,0.0242408709805188,0.0182737564936518,0.846911720046462,364,3758422,273000,11959,5764,6195,2625,7194,2140,40.2509407145714,3.32,3602.10843373494
"32","E05000343","1",0.0169675924082289,0.110284571947402,0.00961475664439259,0.0305869047524232,0.018581202163161,0.27829113470376,0.140369712560829,0.0524542638005049,0.0221668246294512,0.05935471538823,0.0207093192733181,0.0227084113191618,0.0031762466449501,0.16341104040396,0.00531710697133573,0.022058507291509,0.0239476890973821,0.585284319864407,364,860056,81939,11391,5566,5825,2325,6980,2086,40.5527170561882,4.39,2594.76082004556
"33","E05000347","1",0.0108688513824128,0.108714782951336,0.0122217114336376,0.0283837919485125,0.0228836934392855,0.303736783345373,0.141229395153346,0.0529946805017403,0.020617981217574,0.0557332370132002,0.0161193931831615,0.0204373809680173,0.00375976883168057,0.155056806987588,0.00763774873579825,0.0230741446115453,0.0165298482957904,0.430509211628081,364,423416,50857,15085,7390,7695,3150,10329,1606,35.5004971815976,3.15,4788.88888888889
"34","E05000371","1",0.0140727787492714,0.110426271205687,0.0138381062687833,0.0312750285770521,0.0238472660656023,0.276798461759741,0.148340259956548,0.0530299245263022,0.0205588233067624,0.0548921642101757,0.0165118585303447,0.0284165663631065,0.00253597680527483,0.151353151802815,0.00590920446029114,0.0313143929931339,0.0168797644191099,0.300333817156662,365,922615,100825,16310,8087,8223,3264,11726,1320,33.185959534114,0.92,17728.2608695652
"35","E05000374","1",0.0142606250982166,0.0958508108593503,0.0122056306846931,0.0360366583373196,0.0325673442391944,0.304510453704775,0.137921209096545,0.0608900025385225,0.0219608100477139,0.0493837607088522,0.0186210124042226,0.0253558680451822,0.00356256594546148,0.135508749268232,0.00589213524280881,0.0276837104564678,0.0177886533224424,0.307314096722373,364,808267,62627,12432,5942,6490,2756,8479,1197,34.9759491634797,0.83,14978.3132530121
"36","E05000376","1",0.0129654710635643,0.096008400164351,0.0093474654938901,0.0304201603944425,0.0211754143015842,0.302611355439563,0.137651606227078,0.0591435484607308,0.0217308599516077,0.0628909043872597,0.0161725990291114,0.0228227291403527,0.00310060414225496,0.148311597400819,0.00697731042563876,0.0310288679561122,0.0176411060216396,0.199398520444422,365,375987,32891,12629,6091,6538,2094,9153,1382,35.9826589588922,1.03,12261.1650485437
"37","E05000379","1",0.0202629998706123,0.103388520324376,0.0139075198588015,0.0289916937514584,0.0238548911318549,0.318387762798048,0.129439684869047,0.0538905335750045,0.0238781145667336,0.0563632764506629,0.016681061510032,0.0232975286947655,0.00348572698751132,0.133028258496736,0.00486475666816698,0.02448966501854,0.0217880054276485,0.403473792626799,364,1207950,124582,12904,6447,6457,1971,9716,1217,35.7612368241452,0.88,14663.6363636364
"38","E05000381","1",0.0164637545632744,0.104480551009765,0.0140018343014369,0.034496556188969,0.026525437444926,0.297511104717032,0.134210620964986,0.0583478698724981,0.0228793137554624,0.0522632042728434,0.0184527127879584,0.0260974337763231,0.00322980919668387,0.140016544679627,0.00615390148722283,0.0274650673476361,0.0174042836333555,0.424775653497292,364,1546982,144568,14046,6862,7184,2633,10173,1240,34.9014666089065,0.84,16721.4285714286
"39","E05000416","1",0.0147629055393811,0.104362941969001,0.0105576602680547,0.0302949908282492,0.026176859865745,0.301539250440769,0.135044997510313,0.0589229305649462,0.0232931782566645,0.0546038427309544,0.0168546388864416,0.0245167383214855,0.00342715610389173,0.142242817276747,0.00645140852948077,0.0271024493969809,0.0198452335108947,0.4785978529005,365,1416545,130374,11621,5689,5932,1387,9225,1009,34.6863436855469,1.24,9371.77419354839
